AppDisplayName,AppId
Microsoft Cloud App Security,05a65629-4c1b-48c1-a78b-804c4abdd4af
Microsoft Developer Sample Packs for SharePoint,18cd1722-ae3d-4729-8e39-0ba15c742e28
Microsoft Device Management Checkin,ca0a114d-6fbc-46b3-90fa-2ec954794ddb
Microsoft Exchange Online Protection,00000007-0000-0ff1-ce00-000000000000
Microsoft Flow CDS Integration Service,0eda3b13-ddc9-4c25-b7dd-2f6ea073d6b7
Microsoft Flow Service,7df0a125-d3be-4c96-aa54-591f83ff541c
Microsoft Graph Change Tracking,0bf30f3b-4a52-48df-9a82-234910c4a086
Microsoft Information Protection API,40775b29-2688-46b6-a3b5-b256bd04df9f
Microsoft Insider Risk Management,1fe0d6b3-81f0-4cf5-9dfd-fbb297d7848c
Microsoft Intune API,c161e42e-d4df-4a3d-9b42-e7a3c31f59d4
Microsoft Intune SCCM Connector,63e61dc2-f593-4a6f-92b9-92e4d2c03d4f
Microsoft Invitation Acceptance Portal,4660504c-45b3-4674-a709-71951a6b0763
Microsoft Mobile Application Management,0a5f63c0-b750-4f38-a71c-4fc0d58b89e2
Microsoft password reset service,93625bc8-bfe2-437a-97e0-3d0060024faa
Microsoft Service Trust,d6fdaa33-e821-4211-83d0-cf74736489e1
Microsoft Teams AuthSvc,a164aee5-7d0a-46bb-9404-37421d58bdf7
Microsoft Teams Chat Aggregator,b1379a75-ce5e-4fa3-80c6-89bb39bf646c
Microsoft Teams UIS,1996141e-2b07-4491-927a-5a024b335c78
Microsoft To-Do,c830ddb0-63e6-4f22-bd71-2ad47198a23e
Microsoft Windows AutoPilot Service API,cbfda01c-c883-45aa-aedc-e7a484615620
Microsoft Workplace Search Service,f3a218b7-5c8f-460b-93af-56b072788c15
Microsoft.Azure.SyncFabric,00000014-0000-0000-c000-000000000000
MIP Exchange Solutions - SPO,192644fe-6aac-4786-8d93-775a056aa1de
MS Teams Griffin Assistant,c9224372-5534-42cb-a48b-8db4f4a3892e
MsgDataMgmt,61a63147-3824-45f5-a186-ace3f4c9daeb
MS-PIM,01fc33a7-78ba-4d2f-a4b7-768e336e890e
My Apps,2793995e-0a7d-40d7-bd35-6968ba142197
O365 Demeter,982bda36-4632-4165-a46a-9863b1bbcf7d
O365 Secure Score,8b3391f4-af01-4ee8-b4ea-9871b2499735
o365.servicecommunications.microsoft.com,cb1bda4c-1213-4e8b-911a-0a8c83c5d3b7
OCaaS Experience Management Service,6e99704e-62d5-40f6-b2fe-90aafbe3a710
Office 365 Configure,aa9ecb1e-fd53-4aaa-a8fe-7a54de2c1334
Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000
Office 365 Information Protection,2f3f02c9-5679-4a5c-a605-0de55b07d135
Office 365 Search Service,66a88757-258c-4c72-893c-3e8bed4d6899
Office 365 SharePoint Online,00000003-0000-0ff1-ce00-000000000000
Office MRO Device Manager Service,ebe0c285-db95-403f-a1a3-a793bd6d7767
Office Online Service LEGACY,67e3df25-268a-4324-a550-0de1c7f97287
Office365 Zoom,0d38933a-0bbd-41ca-9ebd-28c4b5ba7cb7
Office365DirectorySynchronizationService,18af356b-c4fd-4f52-9899-d09d21397ab7
OfficeClientService,0f698dd4-f011-4d23-a33e-b36416dcb1e6
OfficeServicesManager,9e4a5442-a5c9-4f6f-b03f-5b9fcaaf24b1
OneProfile Service,b2cc270f-563e-4d8a-af47-f00963a71dcd
Policy Administration Service,0469d4cd-df37-4d93-8a61-f8c75b809164
PowerApps-Advisor,c9299480-c13a-49db-a7ae-cdfe54fe0313
ProjectWorkManagement,09abbdfd-ed23-44ee-a2d9-a627aa1c90f3
SalesInsightsWebApp,b20d0d3a-dc90-485b-ad11-6031e769e221
SharePoint Home Notifier,4e445925-163e-42ca-b801-9073bfa46d17
SharePoint Online Web Client Extensibility,08e18876-6177-487e-b8b5-cf950c1e598c
Skype for Business,7557eb47-c689-4224-abcf-aef9bd7573df
Skype for Business Online,00000004-0000-0ff1-ce00-000000000000
Skype Teams Firehose,cdccd920-384b-4a25-897d-75161a4b74c1
Substrate Instant Revocation Pipeline,eace8149-b661-472f-b40d-939f89085bd4
Substrate-FileWatcher,fbb0ac1a-82dd-478b-a0e5-0b2b98ef38fe
Teams CMD Services and Data,00edd498-7c0c-4e68-859c-5a55d518c9c0
Teams NRT DLP Ingestion Service,0ef94e72-e4fc-4aa0-a8f4-ff27deb3e6eb
Viva Engage,00000005-0000-0ff1-ce00-000000000000
Viva Learning,2c9e12e5-a56c-4ba1-b768-7a141586c6fe
Windows 365,0af06dc6-e4b5-4f28-818e-e78e62d137a5
Windows Azure Service Management API,797f4846-ba00-4fd7-ba43-dac1f8f63013
WindowsUpdate-Service,6f0478d5-61a3-4897-a2f2-de09a5a90c7f
